AGRUPAMENTOS DE INTERCÂMBIO
 #AG A   B   COEF
 XXX XXX XXX XX.XXXX
   1  11   3  1.0000
   1   1   3  1.0000
   2   3  11  1.0000
   2   3   1  1.0000
   4  11   1  1.0000
   4   3   1  1.0000
   4   4   1  1.0000
   5  11   1  1.0000
   5   4   1  1.0000
   6  11   1  1.0000
   6   4   1  1.0000
   6   1   3  1.0000
   7  11   1  1.0000
   7  11   3  1.0000
   8   1  11  1.0000
   8   1   4  1.0000
  12   4   1  1.0000
  12  11   1  1.0000
 999
LIMITES POR GRUPO
  #AG MI ANOI MF ANOF LIM_P1  LIM_P2  LIM_P3  LIM_P4
 XXX  XX XXXX XX XXXX XXXXXX. XXXXXX. XXXXXX. XXXXXX.
   8  12 2034 12 2034   6400.   6400.   6400.   5700.
   8   1 2035  1 2035   6400.   6400.   6400.   5700.
   8   2 2035  2 2035   6400.   6400.   6400.   5700.
   8   3 2035  3 2035   6400.   6400.   6400.   5700.
   8   4 2035  4 2035   6400.   6400.   6400.   5700.
   8   5 2035  5 2035   6400.   6400.   6400.   5700.
   8   6 2035  6 2035   6400.   6400.   6400.   5700.
   8   7 2035  7 2035   6400.   6400.   6400.   5700.
   8   8 2035  8 2035   6400.   6400.   6400.   5700.
   8   9 2035  9 2035   6400.   6400.   6400.   5700.
   8  10 2035 10 2035   6400.   6400.   6400.   5700.
   8  11 2035 11 2035   6400.   6400.   6400.   5700.
   8  12 2035 12 2035   6400.   6400.   6400.   5700.
   8   1 2036  1 2036   6400.   6400.   6400.   5700.
   8   2 2036  2 2036   6400.   6400.   6400.   5700.
   8   3 2036  3 2036   6400.   6400.   6400.   5700.
   8   4 2036  4 2036   6400.   6400.   6400.   5700.
   8   5 2036  5 2036   6400.   6400.   6400.   5700.
   8   6 2036  6 2036   6400.   6400.   6400.   5700.
   8   7 2036  7 2036   6400.   6400.   6400.   5700.
   8   8 2036  8 2036   6400.   6400.   6400.   5700.
   8   9 2036  9 2036   6400.   6400.   6400.   5700.
   8  10 2036 10 2036   6400.   6400.   6400.   5700.
   8  11 2036 11 2036   6400.   6400.   6400.   5700.
   8  12 2036 12 2036   6400.   6400.   6400.   5700.
  12   1 2021  1 2021   2500.   2500.   2500.   2500.
  12   2 2021  2 2021   2500.   2500.   2500.   2500.
  12   3 2021  3 2021   2500.   2500.   2500.   2500.
  12   4 2021  4 2021   2500.   2500.   2500.   2500.
  12   5 2021  5 2021   2500.   2500.   2500.   2500.
  12   6 2021  6 2021   2500.   2500.   2500.   2500.
  12   7 2021  7 2021   2500.   2500.   2500.   2500.
  12   8 2021  8 2021   2500.   2500.   2500.   2500.
  12   9 2021  9 2021   2500.   2500.   2500.   2500.
  12  10 2021 10 2021   2500.   2500.   2500.   2500.
  12  11 2021 11 2021   2500.   2500.   2500.   2500.
  12  12 2021 12 2021   2500.   2500.   2500.   2500.
  12   1 2022  1 2022   4000.   4000.   4000.   4000.
  12   2 2022  2 2022   4000.   4000.   4000.   4000.
  12   3 2022  3 2022   4000.   4000.   4000.   4000.
  12   4 2022  4 2022   4000.   4000.   4000.   4000.
  12   5 2022  5 2022   4000.   4000.   4000.   4000.
  12   6 2022  6 2022   4000.   4000.   4000.   4000.
  12   7 2022  7 2022   4000.   4000.   4000.   4000.
  12   8 2022  8 2022   4000.   4000.   4000.   4000.
  12   9 2022  9 2022   4000.   4000.   4000.   4000.
  12  10 2022 10 2022   4000.   4000.   4000.   4000.
  12  11 2022 11 2022   4000.   4000.   4000.   4000.
  12  12 2022 12 2022   4000.   4000.   4000.   4000.
  12   1 2023  1 2023   4000.   4000.   4000.   4000.
  12   2 2023  2 2023   4000.   4000.   4000.   4000.
  12   3 2023  3 2023   4000.   4000.   4000.   4000.
  12   4 2023  4 2023   4000.   4000.   4000.   4000.
  12   5 2023  5 2023   4000.   4000.   4000.   4000.
  12   6 2023  6 2023   4000.   4000.   4000.   4000.
  12   7 2023  7 2023   4000.   4000.   4000.   4000.
  12   8 2023  8 2023   4000.   4000.   4000.   4000.
  12   9 2023  9 2023   4000.   4000.   4000.   4000.
  12  10 2023 10 2023   4000.   4000.   4000.   4000.
  12  11 2023 11 2023   4000.   4000.   4000.   4000.
  12  12 2023 12 2023   4000.   4000.   4000.   4000.
  12   1 2024  1 2024   4000.   4000.   4000.   4000.
  12   2 2024  2 2024   4000.   4000.   4000.   4000.
  12   3 2024  3 2024   4000.   4000.   4000.   4000.
  12   4 2024  4 2024   4000.   4000.   4000.   4000.
  12   5 2024  5 2024   4000.   4000.   4000.   4000.
  12   6 2024  6 2024   4000.   4000.   4000.   4000.
  12   7 2024  7 2024   4000.   4000.   4000.   4000.
  12   8 2024  8 2024   4000.   4000.   4000.   4000.
  12   9 2024  9 2024   4000.   4000.   4000.   4000.
  12  10 2024 10 2024   4000.   4000.   4000.   4000.
  12  11 2024 11 2024   4000.   4000.   4000.   4000.
  12  12 2024 12 2024   4000.   4000.   4000.   4000.
  12   1 2025  1 2025   4000.   4000.   4000.   4000.
  12   2 2025  2 2025   4000.   4000.   4000.   4000.
  12   3 2025  3 2025   4000.   4000.   4000.   4000.
  12   4 2025  4 2025   4000.   4000.   4000.   4000.
  12   5 2025  5 2025   4000.   4000.   4000.   4000.
  12   6 2025  6 2025   4000.   4000.   4000.   4000.
  12   7 2025  7 2025   4000.   4000.   4000.   4000.
  12   8 2025  8 2025   4000.   4000.   4000.   4000.
  12   9 2025  9 2025   4000.   4000.   4000.   4000.
  12  10 2025 10 2025   4000.   4000.   4000.   4000.
  12  11 2025 11 2025   4000.   4000.   4000.   4000.
  12  12 2025 12 2025   4000.   4000.   4000.   4000.
  12   1 2026  1 2026   4000.   4000.   4000.   4000.
  12   2 2026  2 2026   4000.   4000.   4000.   4000.
  12   3 2026  3 2026   4000.   4000.   4000.   4000.
  12   4 2026  4 2026   4000.   4000.   4000.   4000.
  12   5 2026  5 2026   4000.   4000.   4000.   4000.
  12   6 2026  6 2026   4000.   4000.   4000.   4000.
  12   7 2026  7 2026   4000.   4000.   4000.   4000.
  12   8 2026  8 2026   4000.   4000.   4000.   4000.
  12   9 2026  9 2026   4000.   4000.   4000.   4000.
  12  10 2026 10 2026   4000.   4000.   4000.   4000.
  12  11 2026 11 2026   4000.   4000.   4000.   4000.
  12  12 2026 12 2026   4000.   4000.   4000.   4000.
  12   1 2027  1 2027   4000.   4000.   4000.   4000.
  12   2 2027  2 2027   4000.   4000.   4000.   4000.
  12   3 2027  3 2027   4000.   4000.   4000.   4000.
  12   4 2027  4 2027   4000.   4000.   4000.   4000.
  12   5 2027  5 2027   4000.   4000.   4000.   4000.
  12   6 2027  6 2027   4000.   4000.   4000.   4000.
  12   7 2027  7 2027   4000.   4000.   4000.   4000.
  12   8 2027  8 2027   4000.   4000.   4000.   4000.
  12   9 2027  9 2027   4000.   4000.   4000.   4000.
  12  10 2027 10 2027   4000.   4000.   4000.   4000.
  12  11 2027 11 2027   4000.   4000.   4000.   4000.
  12  12 2027 12 2027   4000.   4000.   4000.   4000.
  12   1 2028  1 2028   4000.   4000.   4000.   4000.
  12   2 2028  2 2028   4000.   4000.   4000.   4000.
  12   3 2028  3 2028   4000.   4000.   4000.   4000.
  12   4 2028  4 2028   4000.   4000.   4000.   4000.
  12   5 2028  5 2028   4000.   4000.   4000.   4000.
  12   6 2028  6 2028   4000.   4000.   4000.   4000.
  12   7 2028  7 2028   4000.   4000.   4000.   4000.
  12   8 2028  8 2028   4000.   4000.   4000.   4000.
  12   9 2028  9 2028   4000.   4000.   4000.   4000.
  12  10 2028 10 2028   4000.   4000.   4000.   4000.
  12  11 2028 11 2028   4000.   4000.   4000.   4000.
  12  12 2028 12 2028   4000.   4000.   4000.   4000.
  12   1 2029  1 2029   4000.   4000.   4000.   4000.
  12   2 2029  2 2029   4000.   4000.   4000.   4000.
  12   3 2029  3 2029   4000.   4000.   4000.   4000.
  12   4 2029  4 2029   4000.   4000.   4000.   4000.
  12   5 2029  5 2029   4000.   4000.   4000.   4000.
  12   6 2029  6 2029   4000.   4000.   4000.   4000.
  12   7 2029  7 2029   4000.   4000.   4000.   4000.
  12   8 2029  8 2029   4000.   4000.   4000.   4000.
  12   9 2029  9 2029   4000.   4000.   4000.   4000.
  12  10 2029 10 2029   4000.   4000.   4000.   4000.
  12  11 2029 11 2029   4000.   4000.   4000.   4000.
  12  12 2029 12 2029   4000.   4000.   4000.   4000.
  12   1 2030  1 2030   4000.   4000.   4000.   4000.
  12   2 2030  2 2030   4000.   4000.   4000.   4000.
  12   3 2030  3 2030   4000.   4000.   4000.   4000.
  12   4 2030  4 2030   4000.   4000.   4000.   4000.
  12   5 2030  5 2030   4000.   4000.   4000.   4000.
  12   6 2030  6 2030   4000.   4000.   4000.   4000.
  12   7 2030  7 2030   4000.   4000.   4000.   4000.
  12   8 2030  8 2030   4000.   4000.   4000.   4000.
  12   9 2030  9 2030   4000.   4000.   4000.   4000.
  12  10 2030 10 2030   4000.   4000.   4000.   4000.
  12  11 2030 11 2030   4000.   4000.   4000.   4000.
  12  12 2030 12 2030   4000.   4000.   4000.   4000.
  12   1 2031  1 2031   4000.   4000.   4000.   4000.
  12   2 2031  2 2031   4000.   4000.   4000.   4000.
  12   3 2031  3 2031   4000.   4000.   4000.   4000.
  12   4 2031  4 2031   4000.   4000.   4000.   4000.
  12   5 2031  5 2031   4000.   4000.   4000.   4000.
  12   6 2031  6 2031   4000.   4000.   4000.   4000.
  12   7 2031  7 2031   4000.   4000.   4000.   4000.
  12   8 2031  8 2031   4000.   4000.   4000.   4000.
  12   9 2031  9 2031   4000.   4000.   4000.   4000.
  12  10 2031 10 2031   4000.   4000.   4000.   4000.
  12  11 2031 11 2031   4000.   4000.   4000.   4000.
  12  12 2031 12 2031   4000.   4000.   4000.   4000.
  12   1 2032  1 2032   4000.   4000.   4000.   4000.
  12   2 2032  2 2032   4000.   4000.   4000.   4000.
  12   3 2032  3 2032   4000.   4000.   4000.   4000.
  12   4 2032  4 2032   4000.   4000.   4000.   4000.
  12   5 2032  5 2032   4000.   4000.   4000.   4000.
  12   6 2032  6 2032   4000.   4000.   4000.   4000.
  12   7 2032  7 2032   4000.   4000.   4000.   4000.
  12   8 2032  8 2032   4000.   4000.   4000.   4000.
  12   9 2032  9 2032   4000.   4000.   4000.   4000.
  12  10 2032 10 2032   4000.   4000.   4000.   4000.
  12  11 2032 11 2032   4000.   4000.   4000.   4000.
  12  12 2032 12 2032   4000.   4000.   4000.   4000.
  12   1 2033  1 2033   4000.   4000.   4000.   4000.
  12   2 2033  2 2033   4000.   4000.   4000.   4000.
  12   3 2033  3 2033   4000.   4000.   4000.   4000.
  12   4 2033  4 2033   4000.   4000.   4000.   4000.
  12   5 2033  5 2033   4000.   4000.   4000.   4000.
  12   6 2033  6 2033   4000.   4000.   4000.   4000.
  12   7 2033  7 2033   4000.   4000.   4000.   4000.
  12   8 2033  8 2033   4000.   4000.   4000.   4000.
  12   9 2033  9 2033   4000.   4000.   4000.   4000.
  12  10 2033 10 2033   4000.   4000.   4000.   4000.
  12  11 2033 11 2033   4000.   4000.   4000.   4000.
  12  12 2033 12 2033   4000.   4000.   4000.   4000.
  12   1 2034  1 2034   4000.   4000.   4000.   4000.
  12   2 2034  2 2034   4000.   4000.   4000.   4000.
  12   3 2034  3 2034   4000.   4000.   4000.   4000.
  12   4 2034  4 2034   4000.   4000.   4000.   4000.
  12   5 2034  5 2034   4000.   4000.   4000.   4000.
  12   6 2034  6 2034   4000.   4000.   4000.   4000.
  12   7 2034  7 2034   4000.   4000.   4000.   4000.
  12   8 2034  8 2034   4000.   4000.   4000.   4000.
  12   9 2034  9 2034   4000.   4000.   4000.   4000.
  12  10 2034 10 2034   4000.   4000.   4000.   4000.
  12  11 2034 11 2034   4000.   4000.   4000.   4000.
  12  12 2034 12 2034   4000.   4000.   4000.   4000.
  12   1 2035  1 2035   4000.   4000.   4000.   4000.
  12   2 2035  2 2035   4000.   4000.   4000.   4000.
  12   3 2035  3 2035   4000.   4000.   4000.   4000.
  12   4 2035  4 2035   4000.   4000.   4000.   4000.
  12   5 2035  5 2035   4000.   4000.   4000.   4000.
  12   6 2035  6 2035   4000.   4000.   4000.   4000.
  12   7 2035  7 2035   4000.   4000.   4000.   4000.
  12   8 2035  8 2035   4000.   4000.   4000.   4000.
  12   9 2035  9 2035   4000.   4000.   4000.   4000.
  12  10 2035 10 2035   4000.   4000.   4000.   4000.
  12  11 2035 11 2035   4000.   4000.   4000.   4000.
  12  12 2035 12 2035   4000.   4000.   4000.   4000.
  12   1 2036  1 2036   4000.   4000.   4000.   4000.
  12   2 2036  2 2036   4000.   4000.   4000.   4000.
  12   3 2036  3 2036   4000.   4000.   4000.   4000.
  12   4 2036  4 2036   4000.   4000.   4000.   4000.
  12   5 2036  5 2036   4000.   4000.   4000.   4000.
  12   6 2036  6 2036   4000.   4000.   4000.   4000.
  12   7 2036  7 2036   4000.   4000.   4000.   4000.
  12   8 2036  8 2036   4000.   4000.   4000.   4000.
  12   9 2036  9 2036   4000.   4000.   4000.   4000.
  12  10 2036 10 2036   4000.   4000.   4000.   4000.
  12  11 2036 11 2036   4000.   4000.   4000.   4000.
  12  12 2036 12 2036   4000.   4000.   4000.   4000.
 999
